-22158000	-14330000	4072600
23420000	10158000	-6239300
-12991000	-9547600	21009000
6253400	22889000	-11979000
-5597100	13970000	21942000
-21529000	-3078500	-15133000
-12742000	-10441000	-20971000
-25128000	6969400	5099700
11157000	-20410000	-12354000
7485700	20414000	15288000
11665000	12336000	20169000
4391300	14456000	-22022000
-13380000	17933000	-14205000
14333000	9500200	-20752000
-1870200	-24233000	-10438000
-21361000	13491000	8788100
-16163000	-6848700	19452000
-13538000	15495000	16408000
1401100	26624000	-835530
-20864000	-16598000	-3726700
9588400	-16656000	18698000
14679000	-9580900	-19905000
22139000	15076000	-898540
15202000	1056800	21435000
4513400	-25715000	3629200
-752200	-15717000	-21576000
7312300	-13393000	21708000
25205000	-2378000	8112400
-13499000	9013300	-20958000
4165800	-15618000	20832000
18528000	-15777000	10568000
