index,satellite position,satellite velocity,satellite acceleration,time,sv
56.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G27
57.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G28
58.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G29
59.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G30
60.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G31
61.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-01 22:00:00,G32
62.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G01
63.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G02
64.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G03
65.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G05
66.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G06
67.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G07
68.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G08
69.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G09
70.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G10
71.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G11
72.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G12
73.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G13
74.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G14
75.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G15
76.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G16
77.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G17
78.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G18
79.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G19
80.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G20
81.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G21
82.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G22
83.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G23
84.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G24
85.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G25
86.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G26
87.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G27
88.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G28
89.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G29
90.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G30
91.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 00:00:00,G31
92.0,"[19346262.588893667, 12336932.428860176, 13651157.698487]","[-1732.3363824596909, 2975.6202292027447, 2457.4342521982176]","[0.13167065882687481, 0.059873604726197, -0.28595307932315406]",2023-03-02 00:00:00,G32
93.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G01
94.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G02
95.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G03
96.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G05
97.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G06
98.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G07
99.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G08
100.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G09
101.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G10
102.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G11
