index,satellite position,Unnamed: 0.1,satellite velocity,satellite acceleration,0.3,0.4,0.5,0.6,0.7,Unnamed: 0.8,0.8,time,sv
47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,2023-03-01 22:00:00,G18
48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2023-03-01 22:00:00,G19
49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,2023-03-01 22:00:00,G20
50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2023-03-01 22:00:00,G21
51.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,2023-03-01 22:00:00,G22
52.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,2023-03-01 22:00:00,G23
53.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,2023-03-01 22:00:00,G24
54.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,2023-03-01 22:00:00,G25
55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,2023-03-01 22:00:00,G26
56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,2023-03-01 22:00:00,G27
57.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,2023-03-01 22:00:00,G28
58.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,2023-03-01 22:00:00,G29
59.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,2023-03-01 22:00:00,G30
60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,2023-03-01 22:00:00,G31
61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,2023-03-01 22:00:00,G32
62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,2023-03-02 00:00:00,G01
63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,2023-03-02 00:00:00,G02
64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,2023-03-02 00:00:00,G03
65.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,2023-03-02 00:00:00,G05
66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,2023-03-02 00:00:00,G06
67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,2023-03-02 00:00:00,G07
68.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,2023-03-02 00:00:00,G08
69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,2023-03-02 00:00:00,G09
70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2023-03-02 00:00:00,G10
