time,sv,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime
2023-03-01 22:00:00,G32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02 00:00:00,G31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
